experiment,trace_id,time_sec,agent,policy,selected_event_id,selected_event_type,action,decision_signal,event_link_status,metric_feedback_signal,attribution_or_outcome_signal,feedback_class,feedback_status,issues,safety_boundary
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00049,240,TSRA-R-ML,ml_anomaly_detector,def-00025,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.108345; after=0.191036; delta=0.0826905; latency_delta=0; trusted_stale_delta=0.125; priority_delta=-0.00545236,observed_effect=degraded_or_delayed; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00050,245,TSRA-R-ML,ml_anomaly_detector,def-00026,defense_event,priority_reroute,reason=detector opened or maintained defense window,linked,before=0.124242; after=0.190591; delta=0.0663487; latency_delta=0; trusted_stale_delta=0.125; priority_delta=-0.00480253,observed_effect=degraded_or_delayed; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00050,245,TSRA-R-ML,ml_anomaly_detector,def-00027,defense_event,pace_switch,reason=detector opened or maintained defense window,linked,before=0.124242; after=0.190591; delta=0.0663487; latency_delta=0; trusted_stale_delta=0.125; priority_delta=-0.00480253,observed_effect=degraded_or_delayed; attribution_class=bounded_tradeoff_supported; attribution_status=pass; primary_metric=mission_impact,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00052,255,TSRA-R-ML,ml_anomaly_detector,def-00028,defense_event,ml_attack_alert,probability=0.913534; threshold=0.75; active_defense_until=325,linked,before=0.123227; after=0.155475; delta=0.0322485; latency_delta=0; trusted_stale_delta=0.0625; priority_delta=-0.00425306,observed_effect=degraded_or_delayed; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,ml_window_triggered,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00052,255,TSRA-R-ML,ml_anomaly_detector,def-00029,defense_event,video_throttle,reason=detector opened or maintained defense window,linked,before=0.123227; after=0.155475; delta=0.0322485; latency_delta=0; trusted_stale_delta=0.0625; priority_delta=-0.00425306,observed_effect=degraded_or_delayed; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_bounded_or_lagged,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,aura-ml-trace-00027,260,AURA-ML,ml_impact_predictor,ml-atk-00005,attack_event,failover_chasing,score=0.708246; expected_mission_impact=0.783246; target=LTE; reason=ML impact predictor selected failover_chasing,linked,before=0.122826@t=260; peak=0.191303; after=0.154587@t=300; delta=0.0317608; peak_latency=2; peak_trusted_stale=0.1875; peak_priority_inversion=0.0502355,response=complete; outcome=held near attack-time impact; reduction_from_peak=0.00262202,attack_pressure_observed,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00055,270,TSRA-R-ML,ml_anomaly_detector,def-00030,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.191036; after=0.154587; delta=-0.0364491; latency_delta=0; trusted_stale_delta=-0.0625; priority_delta=-0.00414811,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00056,275,TSRA-R-ML,ml_anomaly_detector,def-00031,defense_event,priority_reroute,reason=detector opened or maintained defense window,linked,before=0.190591; after=0.154587; delta=-0.0360042; latency_delta=0; trusted_stale_delta=-0.0625; priority_delta=-0.00325843,observed_effect=improved; attribution_class=ablation_supported; attribution_status=pass; primary_metric=priority_inversion_rate,defense_improved,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00057,280,TSRA-R-ML,ml_anomaly_detector,def-00032,defense_event,ml_attack_alert,probability=0.963056; threshold=0.75; active_defense_until=350,linked,before=0.155857; after=0.154587; delta=-0.00127063; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.00254126,observed_effect=held; attribution_class=reactive_window_supported; attribution_status=pass; primary_metric=mission_impact,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00059,290,TSRA-R-ML,ml_anomaly_detector,def-00033,defense_event,video_throttle,reason=detector opened or maintained defense window,linked,before=0.155138; after=0.154587; delta=-0.000551239; latency_delta=0; trusted_stale_delta=0; priority_delta=-0.00110248,observed_effect=held; attribution_class=local_metric_supported; attribution_status=pass; primary_metric=p95_critical_latency_sec,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,tsra-r-ml-trace-00061,300,TSRA-R-ML,ml_anomaly_detector,def-00034,defense_event,stale_badge,reason=detector opened or maintained defense window,linked,before=0.154587; after=0.154587; delta=0; latency_delta=0; trusted_stale_delta=0; priority_delta=0,observed_effect=held; attribution_class=ablation_supported; attribution_status=pass; primary_metric=trusted_stale_exposure,defense_held,pass,,"closed simulation decision-feedback audit only; no RF, exploit, or live network action"
